DATE,DAY,TIMESLOT,TIMINGS,MULTIPLEX,MOVIE,CATEGORY,TAG,LOCATION,lon,lat,IMDB,RottenTom,IndieWire
26-October-2018,Friday,10AM,11:00AM - 1:05 PM,"PVR ICON
AUDI 2
220","
In The Aisles
Thomas Stuber
Germany | 125 mins
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,7.3,90,
28-October-2018,Sunday,5PM,5:45PM - 8:01PM,"PVR ICON
AUDI 3
312","
Ash Is Purest White
Jia Zhangke
China | 136 mins
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,6.9,79,
26-October-2018,Friday,10AM,11:30AM - 1:35PM,"PVR ECX
AUDI 4
216","
Birds Of Passage
Cristina Gallego, Ciro Guerra
Colombia, France, Mexico, Denmark | 125 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,8.1,91,
27-October-2018,Saturday,5PM,6:00PM - 8:20PM,"PVR ICON
AUDI 1
236","
The Sound Man Mangesh Desai
Subash Sahoo
India | 112 mins
Introduction | Q&A
IS",India Story,IS,VERSOVA,30.55573,-0.61179,,,
26-October-2018,Friday,10AM,11:00AM - 12:36PM,"PVR ECX
AUDI 1
216","
Hotel By The River
Hong Sang-soo
South Korea | 96 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,7.1,92,
28-October-2018,Sunday,8PM,8:30PM - 10:35PM,"PVR ICON
AUDI 1
236","
Manta Ray
Phuttiphong Aroonpheng
Thailand, France, China | 105 mins
Introduction | Q&A
IC",International Competition,IC,VERSOVA,30.55573,-0.61179,7.2,,
27-October-2018,Saturday,2PM,4:15PM - 5:49PM,"PVR ECX
AUDI 4
216","
Ruben Brandt, Collector
Milorad Krstić
Hungary | 94 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,7.9,,
26-October-2018,Friday,2PM,NA,"PVR ICON
AUDI 4
312",No screening,No screening,No screening,VERSOVA,30.55573,-0.61179,,,
26-October-2018,Friday,10AM,NA,"PVR ECX
AUDI 3
216",No screening,No screening,No screening,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,10AM,10:00AM - 11:49AM,"PVR ICON
AUDI 1
236","Leave No Trace
Debra Granik
USA | 109 mins
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,7.3,88,
26-October-2018,Friday,12PM,2:30PM - 4:18PM,"PVR ECX
AUDI 4
216","
Border
Ali Abbasi
Sweden, Denmark | 108 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,7.2,78,3.5
27-October-2018,Saturday,2PM,NA,"PVR ECX
AUDI 5
216",No screening,No screening,No screening,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,5PM,6:00PM - 8:00PM,"PVR ECX
AUDI 3
216","
Jonaki
Aditya Vikram Sengupta
India, France, Singapore | 95 mins
Introduction | Q&A
IG",India Gold,IG,ANDHERI (W),30.55573,-0.61179,7.7,,
26-October-2018,Friday,12PM,12:15PM - 2:15PM,"PVR ICON
AUDI 4
312","Royal Stag Barrel Select Large Short Films | World Premieres
India | 70 mins
Q&A
RS",Royal Stag Barrel Select Large Short Films,RS,VERSOVA,30.55573,-0.61179,,,
26-October-2018,Friday,10AM,10:30AM - 12:08PM,"PVR ECX
AUDI 2
216","
Open Seas
Michiel van Erp
Netherlands | 98 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,7.4,,
27-October-2018,Saturday,8PM,9:00PM - 11:05PM,"PVR ICON
AUDI 1
236","
The Gentle Indifference Of The World
Adilkhan Yerzhanov
Kazakhstan, France | 100 mins
Introduction | Q&A
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,6.3,,
28-October-2018,Sunday,8PM,8:30PM - 10:35PM,"PVR ECX
AUDI 1
216","
Manta Ray
Phuttiphong Aroonpheng
Thailand, France, China | 105 mins
Introduction | Q&A
IC",International Competition,IC,ANDHERI (W),30.55573,-0.61179,7.2,,
26-October-2018,Friday,2PM,3:30PM - 5:05PM,"PVR ECX
AUDI 3
216","
MATANGI/MAYA/M.I.A.
Steve Loveridge
USA, UK, Sri Lanka | 95 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,5PM,6:00PM - 8:05PM,"PVR ICON
AUDI 4
312","Imago
Karan Chavan, Vikram Patil
India | 97 mins
Introduction | Q&A
IS",India Story,IS,VERSOVA,30.55573,-0.61179,7.5,,
26-October-2018,Friday,12PM,1:00PM - 2:32PM,"PVR ECX
AUDI 2
216","
Suspiria (1977)
Dario Argento
Italy | 92 mins
RC",Restored Classics,RC,ANDHERI (W),30.55573,-0.61179,6.6,73,
27-October-2018,Saturday,5PM,5:45PM - 8:00PM,"PVR ECX
AUDI 5
216","
Hamid
Aijaz Khan
India | 108 mins
Introduction | Q&A
IS",India Story,IS,ANDHERI (W),30.55573,-0.61179,,,
31-October-2018,Wednesday,5PM,6:30PM - 8:25PM,"PVR ICON
AUDI 2
220","
The Eyes Of Orson Welles
Mark Cousins
UK | 115 mins
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,6.8,,
27-October-2018,Saturday,5PM,5:45PM - 8:00PM,"PVR ECX
AUDI 3
216","
Amaltash
Suhas Desale
India | 114 mins
Introduction | Q&A
MT",Marathi Talkies,MT,ANDHERI (W),30.55573,-0.61179,,,
28-October-2018,Sunday,10AM,11:00AM - 1:30PM,"PVR ECX
AUDI 3
216","
Bornodi Bhotiai
Anupam Kaushik Borah
India | 132 mins
Introduction | Q&A
IS",India Story,IS,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,5PM,7:15PM - 9:20PM,"PVR ECX
AUDI 1
216","
The Heiresses
Marcelo Martinessi
Paraguay, Uruguay, Germany | 98 mins
Introduction | Q&A
IC",International Competition,IC,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,5PM,6:45PM - 7:51PM,"PVR ICON
AUDI 2
220","
Grass
Hong Sang-soo
South Korea | 66 mins
WC",World Cinema,WC,VERSOVA,30.55573,-0.61179,,,
26-October-2018,Friday,5PM,5:45PM - 7:50PM,"PVR ICON
AUDI 1
236","Balekempa
Ere Gowda
India | 103 mins
Introduction | Q&A
IG",India Gold,IG,VERSOVA,30.55573,-0.61179,,,
27-October-2018,Saturday,8PM,8:45PM - 10:30PM,"PVR ECX
AUDI 5
216","
True Blue
Swati Dandekar
India | 85 mins
Introduction | Q&A
IS",India Story,IS,ANDHERI (W),30.55573,-0.61179,,,
26-October-2018,Friday,5PM,6:00PM - 8:30PM,"PVR ECX
AUDI 2
216","
Ghode Ko Jalebi Khilane Le Ja Riya Hoon
Anamika Haksar
India | 122 mins
Introduction | Q&A
IS",India Story,IS,ANDHERI (W),30.55573,-0.61179,,,
27-October-2018,Saturday,5PM,7:00PM - 9:28PM,"PVR ECX
AUDI 2
216","
Burning
Lee Chang-dong
South Korea | 148 mins
WC",World Cinema,WC,ANDHERI (W),30.55573,-0.61179,,,
27-October-2018,Saturday,5PM,5:45PM - 7:50PM,"PVR ICON
AUDI 3
312","
Soni
Ivan Ayr
India | 97 mins
Introduction | Q&A
IG",India Gold,IG,VERSOVA,30.55573,-0.61179,,,
